snapshot_date,neighbourhood_group_cleansed,neighbourhood_cleansed,n_listings_total,n_listings_active,price_median,price_mean,pct_active
2025-03-05,Arganzuela,Acacias,239,158,86.0,90.4601226993865,66.10878661087865
2025-03-05,Arganzuela,Atocha,50,45,110.0,138.46153846153845,90.0
2025-03-05,Arganzuela,Chopera,179,135,77.0,91.63120567375887,75.41899441340783
2025-03-05,Arganzuela,Delicias,221,143,75.5,83.84666666666666,64.70588235294117
2025-03-05,Arganzuela,Imperial,191,138,91.0,190.47058823529412,72.25130890052355
2025-03-05,Arganzuela,Legazpi,60,41,78.0,90.4,68.33333333333333
2025-03-05,Arganzuela,Palos de Moguer,438,301,93.0,123.36969696969697,68.72146118721462
2025-03-05,Barajas,Aeropuerto,10,10,54.0,83.57142857142857,100.0
2025-03-05,Barajas,Alameda de Osuna,41,29,57.5,105.8,70.73170731707317
2025-03-05,Barajas,Casco Histórico de Barajas,62,39,58.0,71.82608695652173,62.903225806451616
2025-03-05,Barajas,Corralejos,15,10,73.0,104.15384615384616,66.66666666666666
2025-03-05,Barajas,Timón,47,29,87.0,107.35483870967742,61.702127659574465
2025-03-05,Carabanchel,Abrantes,62,50,40.0,48.79245283018868,80.64516129032258
2025-03-05,Carabanchel,Buenavista,65,38,44.5,63.6,58.46153846153847
2025-03-05,Carabanchel,Comillas,167,119,82.0,94.14503816793894,71.25748502994011
2025-03-05,Carabanchel,Opañel,159,128,76.0,91.96330275229357,80.50314465408806
2025-03-05,Carabanchel,Puerta Bonita,97,76,47.0,58.45569620253165,78.35051546391753
2025-03-05,Carabanchel,San Isidro,216,165,67.0,89.22,76.38888888888889
2025-03-05,Carabanchel,Vista Alegre,165,110,54.0,70.52066115702479,66.66666666666666
2025-03-05,Centro,Cortes,1042,813,118.0,172.10401891252954,78.02303262955854
2025-03-05,Centro,Embajadores,2801,2010,96.0,125.34129536058796,71.7600856836844
2025-03-05,Centro,Justicia,1272,940,118.0,159.6546184738956,73.89937106918238
2025-03-05,Centro,Palacio,1818,1383,116.0,164.5290819901892,76.07260726072607
2025-03-05,Centro,Sol,1326,1053,130.0,172.91300448430493,79.41176470588235
2025-03-05,Centro,Universidad,2240,1626,109.0,140.52964881980427,72.58928571428571
2025-03-05,Chamartín,Castilla,98,69,89.5,130.15277777777777,70.40816326530613
2025-03-05,Chamartín,Ciudad Jardín,124,91,87.0,104.3010752688172,73.38709677419355
2025-03-05,Chamartín,El Viso,109,76,113.5,156.109756097561,69.72477064220183
2025-03-05,Chamartín,Hispanoamérica,146,121,114.0,144.58955223880596,82.87671232876713
2025-03-05,Chamartín,Nueva España,144,110,130.0,137.23275862068965,76.38888888888889
2025-03-05,Chamartín,Prosperidad,231,168,87.5,107.32098765432099,72.72727272727273
2025-03-05,Chamberí,Almagro,234,153,143.0,158.31645569620252,65.38461538461539
2025-03-05,Chamberí,Arapiles,254,188,85.0,117.34020618556701,74.01574803149606
2025-03-05,Chamberí,Gaztambide,264,188,81.0,102.34054054054054,71.21212121212122
2025-03-05,Chamberí,Rios Rosas,247,190,121.0,168.57671957671957,76.92307692307693
2025-03-05,Chamberí,Trafalgar,517,393,133.0,149.66496163682865,76.01547388781431
2025-03-05,Chamberí,Vallehermoso,127,80,93.0,183.43333333333334,62.99212598425197
2025-03-05,Ciudad Lineal,Atalaya,1,0,65.0,65.0,0.0
2025-03-05,Ciudad Lineal,Colina,25,18,119.0,145.05263157894737,72.0
2025-03-05,Ciudad Lineal,Concepción,91,61,75.5,92.0,67.03296703296702
2025-03-05,Ciudad Lineal,Costillares,45,35,106.5,144.625,77.77777777777779
2025-03-05,Ciudad Lineal,Pueblo Nuevo,220,160,65.0,91.33727810650888,72.72727272727273
2025-03-05,Ciudad Lineal,Quintana,103,79,67.5,123.36585365853658,76.69902912621359
2025-03-05,Ciudad Lineal,San Juan Bautista,33,14,65.0,93.36842105263158,42.42424242424242
2025-03-05,Ciudad Lineal,San Pascual,51,25,46.0,52.074074074074076,49.01960784313725
2025-03-05,Ciudad Lineal,Ventas,259,194,65.0,107.74146341463414,74.9034749034749
2025-03-05,Fuencarral - El Pardo,El Goloso,14,4,118.0,223.375,28.57142857142857
2025-03-05,Fuencarral - El Pardo,El Pardo,4,3,58.0,97.0,75.0
